STA_CHAN,S-E Delta,S-E Azimuth,Phase,Time,Signal/Noise,Time Residual,V. Model,Auth,arid
TIGA_BHZ,64.013°,168.71°,P,2015-09-16 23:05:00.6793 UTC,14.143,-3.914,iasp91,dbp:vladik:1526,16059095
833A_BHZ,65.449°,154.17°,P,2015-09-16 23:05:11.9013 UTC,64.072,-2.07,iasp91,dbp:vladik:1526,16059098
435B_BHZ,67.02°,156.14°,P,2015-09-16 23:05:21.5443 UTC,-1,-2.508,iasp91,dbp:vladik:1526,16059104
KMSC_BHZ,67.328°,171.08°,P,2015-09-16 23:05:21.9997 UTC,72.673,-4.01,iasp91,dbp:vladik:1526,16059105
Z41A_BHZ,67.826°,160.63°,P,2015-09-16 23:05:26.5673 UTC,9.3448,-2.593,iasp91,dbp:vladik:1526,16059107
WHTX_BHZ,68.082°,156.45°,P,2015-09-16 23:05:28.1538 UTC,22.008,-2.618,iasp91,dbp:vladik:1526,16059109
X40A_BHZ,68.995°,160.76°,P,2015-09-16 23:05:32.9802 UTC,10.086,-3.5,iasp91,dbp:vladik:1526,16059111
ABTX_BHZ,69.422°,154.73°,P,2015-09-16 23:05:36.3889 UTC,72.417,-2.738,iasp91,dbp:vladik:1526,16059116
W41B_BHZ,69.488°,161.35°,P,2015-09-16 23:05:36.1547 UTC,28.864,-3.382,iasp91,dbp:vladik:1526,16059115
W39A_BHZ,69.924°,160.03°,P,2015-09-16 23:05:39.5207 UTC,110.9,-2.706,iasp91,dbp:vladik:1526,16059117
Q61A_BHZ,70.532°,176.7°,P,2015-09-16 23:05:43.342 UTC,18.663,-2.612,iasp91,dbp:vladik:1526,16059119
U40A_BHZ,70.766°,160.97°,P,2015-09-16 23:05:43.8832 UTC,62.78,-3.495,iasp91,dbp:vladik:1526,16059120
TUL1_BHZ,71.172°,158.42°,P,2015-09-16 23:05:46.2197 UTC,44.17,-3.622,iasp91,dbp:vladik:1526,16059124
P60A_BHZ,71.477°,176.44°,P,2015-09-16 23:05:48.8452 UTC,32.479,-2.841,iasp91,dbp:vladik:1526,16059125
MSTX_BHZ,71.791°,152.4°,P,2015-09-16 23:05:50.8372 UTC,125.14,-2.744,iasp91,dbp:vladik:1526,16059128
P52A_BHZ,71.863°,170.63°,P,2015-09-16 23:05:50.1192 UTC,83.159,-3.896,iasp91,dbp:vladik:1526,16059127
O56A_BHZ,72.122°,173.83°,P,2015-09-16 23:05:52.6 UTC,53.512,-2.969,iasp91,dbp:vladik:1526,16059131
P49A_BHZ,72.129°,168.34°,P,2015-09-16 23:05:51.4729 UTC,79.234,-4.135,iasp91,dbp:vladik:1526,16059130
O53A_BHZ,72.362°,171.48°,P,2015-09-16 23:05:53.1098 UTC,32.659,-3.891,iasp91,dbp:vladik:1526,16059132
N59A_BHZ,72.586°,176.34°,P,2015-09-16 23:05:55.8402 UTC,185.36,-2.5,iasp91,dbp:vladik:1526,16059137
121A_BHZ,72.619°,148.25°,P,2015-09-16 23:05:57.1347 UTC,63.249,-1.4,iasp91,dbp:vladik:1526,16059138
N54A_BHZ,72.938°,172.59°,P,2015-09-16 23:05:57.2305 UTC,77.973,-3.202,iasp91,dbp:vladik:1526,16059139
M64A_BHZ,73.123°,180.41°,P,2015-09-16 23:05:58.7035 UTC,18.137,-2.82,iasp91,dbp:vladik:1526,16059142
M65A_BHZ,73.139°,180.91°,P,2015-09-16 23:05:58.573 UTC,-1,-3.045,iasp91,dbp:vladik:1526,16059141
SFIN_BHZ,73.353°,166.32°,P,2015-09-16 23:05:58.5138 UTC,28.625,-4.372,iasp91,dbp:vladik:1526,16059140
L63A_BHZ,73.434°,180.05°,P,2015-09-16 23:06:00.5376 UTC,105.17,-2.822,iasp91,dbp:vladik:1526,16059145
M54A_BHZ,73.449°,172.9°,P,2015-09-16 23:05:59.9114 UTC,47.921,-3.541,iasp91,dbp:vladik:1526,16059144
M53A_BHZ,73.481°,172°,P,2015-09-16 23:05:59.8646 UTC,68.826,-3.773,iasp91,dbp:vladik:1526,16059143
L64A_BHZ,73.51°,180.74°,P,2015-09-16 23:06:01.107 UTC,37.566,-2.705,iasp91,dbp:vladik:1526,16059146
Y22D_BHZ,73.561°,149.16°,P,2015-09-16 23:06:02.4909 UTC,-1,-1.619,iasp91,dbp:vladik:1526,16059148
L65A_BHZ,73.615°,181.44°,P,2015-09-16 23:06:01.7263 UTC,-1,-2.702,iasp91,dbp:vladik:1526,16059147
L61B_BHZ,74.026°,179.11°,P,2015-09-16 23:06:03.8972 UTC,104.43,-2.941,iasp91,dbp:vladik:1526,16059153
K62A_BHZ,74.237°,179.5°,P,2015-09-16 23:06:05.3607 UTC,60.417,-2.712,iasp91,dbp:vladik:1526,16059156
K61A_BHZ,74.254°,178.59°,P,2015-09-16 23:06:05.5695 UTC,40.251,-2.603,iasp91,dbp:vladik:1526,16059157
214A_BHZ,74.496°,144.43°,P,2015-09-16 23:06:08.3931 UTC,42.668,-1.188,iasp91,dbp:vladik:1526,16059160
J61A_BHZ,74.921°,179.22°,P,2015-09-16 23:06:09.6708 UTC,53.583,-2.372,iasp91,dbp:vladik:1526,16059162
T25A_BHZ,75.215°,151.54°,P,2015-09-16 23:06:12.2511 UTC,118.4,-1.487,iasp91,dbp:vladik:1526,16059165
L44A_BHZ,75.247°,165.73°,P,2015-09-16 23:06:09.6655 UTC,20.348,-4.258,iasp91,dbp:vladik:1526,16059161
I60A_BHZ,75.429°,178.57°,P,2015-09-16 23:06:12.0264 UTC,100.82,-2.944,iasp91,dbp:vladik:1526,16059164
I62A_BHZ,75.445°,180.29°,P,2015-09-16 23:06:12.5837 UTC,44.505,-2.481,iasp91,dbp:vladik:1526,16059166
I63A_BHZ,75.628°,180.96°,P,2015-09-16 23:06:14.2003 UTC,96.346,-1.909,iasp91,dbp:vladik:1526,16059167
W18A_BHZ,75.67°,147.17°,P,2015-09-16 23:06:14.7314 UTC,11.09,-1.623,iasp91,dbp:vladik:1526,16059169
KSCO_BHZ,76.222°,153.18°,P,2015-09-16 23:06:17.3446 UTC,12.443,-2.158,iasp91,dbp:vladik:1526,16059173
S22A_BHZ,76.686°,149.72°,P,2015-09-16 23:06:20.2975 UTC,19.607,-1.833,iasp91,dbp:vladik:1526,16059176
BGNE_BHZ,76.957°,157.05°,P,2015-09-16 23:06:20.7264 UTC,11.218,-2.932,iasp91,dbp:vladik:1526,16059178
Q24A_BHZ,77.095°,151.17°,P,2015-09-16 23:06:22.8426 UTC,72.606,-1.596,iasp91,dbp:vladik:1526,16059185
109C_BHZ,77.423°,141.54°,P,2015-09-16 23:06:24.5163 UTC,-1,-1.76,iasp91,dbp:vladik:1526,16059188
TPFO_BHZ,77.65°,142.09°,P,2015-09-16 23:06:26.5862 UTC,43.53,-0.96,iasp91,dbp:vladik:1526,16059193
N23A_BHZ,79.079°,150.75°,P,2015-09-16 23:06:33.7334 UTC,42.127,-1.706,iasp91,dbp:vladik:1526,16059207
SPMN_BHZ,79.16°,161.77°,P,2015-09-16 23:06:32.0639 UTC,24.07,-3.815,iasp91,dbp:vladik:1526,16059203
O20A_BHZ,79.3°,148.89°,P,2015-09-16 23:06:34.8198 UTC,29.29,-1.828,iasp91,dbp:vladik:1526,16059210
SUSD_BHZ,79.979°,156.63°,P,2015-09-16 23:06:36.8339 UTC,7.2051,-3.495,iasp91,dbp:vladik:1526,16059212
K22A_BHZ,80.821°,150.45°,P,2015-09-16 23:06:42.6971 UTC,23.304,-2.156,iasp91,dbp:vladik:1526,16059222
R11A_BHZ,80.996°,143.25°,P,2015-09-16 23:06:44.732 UTC,115.7,-1.053,iasp91,dbp:vladik:1526,16059230
MDND_BHZ,83.28°,156.31°,P,2015-09-16 23:06:54.5958 UTC,23.217,-3.146,iasp91,dbp:vladik:1526,16059236
H17A_BHZ,83.831°,147.44°,P,2015-09-16 23:06:58.9753 UTC,-1,-1.59,iasp91,dbp:vladik:1526,16059238
O03E_BHZ,85.528°,139.01°,P,2015-09-16 23:07:06.462 UTC,23.954,-2.646,iasp91,dbp:vladik:1526,16059243
O02D_BHZ,85.936°,138.33°,P,2015-09-16 23:07:09.1684 UTC,11.822,-1.965,iasp91,dbp:vladik:1526,16059244
N02D_BHZ,86.49°,138.42°,P,2015-09-16 23:07:11.4434 UTC,14.036,-2.417,iasp91,dbp:vladik:1526,16059246
M04C_BHZ,86.67°,139.05°,P,2015-09-16 23:07:12.7803 UTC,39.471,-1.958,iasp91,dbp:vladik:1526,16059247
M02C_BHZ,86.877°,138.33°,P,2015-09-16 23:07:13.6762 UTC,14.031,-2.074,iasp91,dbp:vladik:1526,16059248
L04D_BHZ,87.225°,138.74°,P,2015-09-16 23:07:15.2708 UTC,-1,-2.166,iasp91,dbp:vladik:1526,16059250
K04D_BHZ,87.264°,139.14°,P,2015-09-16 23:07:15.7867 UTC,23.451,-1.84,iasp91,dbp:vladik:1526,16059251
J05D_BHZ,87.518°,139.53°,P,2015-09-16 23:07:17.0067 UTC,66.808,-1.836,iasp91,dbp:vladik:1526,16059252
L02E_BHZ,87.82°,137.84°,P,2015-09-16 23:07:18.5546 UTC,11.824,-1.729,iasp91,dbp:vladik:1526,16059253
J04D_BHZ,87.9°,138.91°,P,2015-09-16 23:07:18.8256 UTC,7.9629,-1.837,iasp91,dbp:vladik:1526,16059254
K02D_BHZ,88.25°,137.81°,P,2015-09-16 23:07:21.0441 UTC,23.068,-1.272,iasp91,dbp:vladik:1526,16059256
I05D_BHZ,88.368°,139.48°,P,2015-09-16 23:07:21.3848 UTC,44.272,-1.491,iasp91,dbp:vladik:1526,16059257
I04A_BHZ,88.461°,138.71°,P,2015-09-16 23:07:20.7957 UTC,19.719,-2.518,iasp91,dbp:vladik:1526,16059255
J01E_BHZ,88.725°,137.63°,P,2015-09-16 23:07:23.06 UTC,-1,-1.499,iasp91,dbp:vladik:1526,16059259
I03D_BHZ,88.838°,138.04°,P,2015-09-16 23:07:23.0249 UTC,9.6563,-2.065,iasp91,dbp:vladik:1526,16059258
G05D_BHZ,89.045°,139.51°,P,2015-09-16 23:07:24.3422 UTC,26.974,-1.716,iasp91,dbp:vladik:1526,16059261
H04D_BHZ,89.163°,138.48°,P,2015-09-16 23:07:24.2097 UTC,9.4513,-2.403,iasp91,dbp:vladik:1526,16059260
I02D_BHZ,89.382°,137.7°,P,2015-09-16 23:07:26.2668 UTC,-1,-1.373,iasp91,dbp:vladik:1526,16059263
F05D_BHZ,89.598°,139.41°,P,2015-09-16 23:07:26.5949 UTC,-1,-2.055,iasp91,dbp:vladik:1526,16059264
G03D_BHZ,89.925°,138.11°,P,2015-09-16 23:07:28.2276 UTC,-1,-1.946,iasp91,dbp:vladik:1526,16059265
F04D_BHZ,90.457°,138.29°,P,2015-09-16 23:07:31.047 UTC,-1,-1.602,iasp91,dbp:vladik:1526,16059267
E04D_BHZ,90.608°,138.61°,P,2015-09-16 23:07:30.5012 UTC,8.6995,-2.851,iasp91,dbp:vladik:1526,16059266
C06D_BHZ,90.9°,139.81°,P,2015-09-16 23:07:31.6256 UTC,-1,-3.084,iasp91,dbp:vladik:1526,16059268
D04E_BHZ,91.166°,138.45°,P,2015-09-16 23:07:34.1116 UTC,-1,-1.832,iasp91,dbp:vladik:1526,16059269
B05D_BHZ,91.682°,138.93°,P,2015-09-16 23:07:35.254 UTC,19.356,-3.073,iasp91,dbp:vladik:1526,16059270
A04D_BHZ,92.291°,138.47°,P,2015-09-16 23:07:38.0248 UTC,-1,-3.115,iasp91,dbp:vladik:1526,16059271
EPYK_BHZ,109.608°,124.91°,Pdiff,2015-09-16 23:08:56.3621 UTC,-1,-2.22,iasp91,dbp:vladik:1526,16059301
L27K_BHZ,109.617°,121.7°,Pdiff,2015-09-16 23:08:55.6777 UTC,-1,-2.941,iasp91,dbp:vladik:1526,16059298
M26K_BHZ,109.73°,120.96°,Pdiff,2015-09-16 23:08:54.4894 UTC,-1,-4.635,iasp91,dbp:vladik:1526,16059294
A36M_BHZ,109.966°,133.16°,Pdiff,2015-09-16 23:08:57.0323 UTC,-1,-3.137,iasp91,dbp:vladik:1526,16059303
N25K_BHZ,109.976°,119.94°,Pdiff,2015-09-16 23:08:56.3554 UTC,-1,-3.858,iasp91,dbp:vladik:1526,16059300
L26K_BHZ,110.188°,120.49°,Pdiff,2015-09-16 23:08:56.755 UTC,-1,-4.4,iasp91,dbp:vladik:1526,16059302
K27K_BHZ,110.216°,121.2°,Pdiff,2015-09-16 23:08:57.5086 UTC,-1,-3.77,iasp91,dbp:vladik:1526,16059304
HARP_BHZ,110.595°,119.24°,Pdiff,2015-09-16 23:09:01.033 UTC,-1,-1.93,iasp91,dbp:vladik:1526,16059311
M24K_BHZ,110.869°,118.52°,Pdiff,2015-09-16 23:09:00.8502 UTC,-1,-3.329,iasp91,dbp:vladik:1526,16059310
O22K_BHZ,111.635°,116.27°,Pdiff,2015-09-16 23:09:05.1103 UTC,-1,-2.47,iasp91,dbp:vladik:1526,16059322
J25K_BHZ,111.744°,118.31°,Pdiff,2015-09-16 23:09:04.6139 UTC,-1,-3.45,iasp91,dbp:vladik:1526,16059320
POKR_BHZ,112.754°,116.42°,Pdiff,2015-09-16 23:09:09.344 UTC,-1,-3.204,iasp91,dbp:vladik:1526,16059335
O20K_BHZ,112.766°,114.15°,Pdiff,2015-09-16 23:09:07.9645 UTC,-1,-4.633,iasp91,dbp:vladik:1526,16059329
Q19K_BHZ,112.77°,113.8°,Pdiff,2015-09-16 23:09:10.7808 UTC,-1,-1.838,iasp91,dbp:vladik:1526,16059341
TCOL_BHZ,112.809°,116.16°,Pdiff,2015-09-16 23:09:10.8512 UTC,-1,-1.938,iasp91,dbp:vladik:1526,16059342
P19K_BHZ,112.87°,113.84°,Pdiff,2015-09-16 23:09:09.567 UTC,-1,-3.493,iasp91,dbp:vladik:1526,16059338
H24K_BHZ,113.237°,115.78°,Pdiff,2015-09-16 23:09:09.5637 UTC,-1,-5.126,iasp91,dbp:vladik:1526,16059336
I23K_BHZ,113.498°,114.81°,Pdiff,2015-09-16 23:09:12.8707 UTC,-1,-2.979,iasp91,dbp:vladik:1526,16059344
O19K_BHZ,113.585°,112.78°,Pdiff,2015-09-16 23:09:13.7416 UTC,-1,-2.495,iasp91,dbp:vladik:1526,16059349
H23K_BHZ,113.849°,114.39°,Pdiff,2015-09-16 23:09:13.5425 UTC,-1,-3.866,iasp91,dbp:vladik:1526,16059347
N19K_BHZ,113.897°,112.4°,Pdiff,2015-09-16 23:09:15.7417 UTC,-1,-1.879,iasp91,dbp:vladik:1526,16059355
L20K_BHZ,114.264°,112.19°,Pdiff,2015-09-16 23:09:16.4429 UTC,-1,-2.805,iasp91,dbp:vladik:1526,16059359
M19K_BHZ,114.269°,112.02°,Pdiff,2015-09-16 23:09:13.6458 UTC,-1,-5.623,iasp91,dbp:vladik:1526,16059348
N18K_BHZ,114.485°,111.34°,Pdiff,2015-09-16 23:09:16.1664 UTC,-1,-4.065,iasp91,dbp:vladik:1526,16059357
I21K_BHZ,114.519°,112.62°,Pdiff,2015-09-16 23:09:16.9313 UTC,-1,-3.451,iasp91,dbp:vladik:1526,16059360
L19K_BHZ,114.573°,111.53°,Pdiff,2015-09-16 23:09:16.3339 UTC,-1,-4.287,iasp91,dbp:vladik:1526,16059358
K20K_BHZ,114.672°,111.67°,Pdiff,2015-09-16 23:09:17.2245 UTC,-1,-3.836,iasp91,dbp:vladik:1526,16059363
TOLK_BHZ,114.996°,113.2°,Pdiff,2015-09-16 23:09:18.5435 UTC,-1,-3.954,iasp91,dbp:vladik:1526,16059366
J20K_BHZ,115.003°,111.25°,Pdiff,2015-09-16 23:09:17.8589 UTC,-1,-4.672,iasp91,dbp:vladik:1526,16059364
H21K_BHZ,115.016°,111.73°,Pdiff,2015-09-16 23:09:15.7782 UTC,-1,-6.811,iasp91,dbp:vladik:1526,16059356
A21K_BHZ,118.161°,105.71°,Pdiff,2015-09-16 23:09:34.4241 UTC,-1,-2.121,iasp91,dbp:vladik:1526,16059369